Rk,Age,G,GS,MP,FG,FGA,FGP,3P,3PA,3PP,2P,2PA,2PP,EFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG,labels
21,29,23,7,20.2,3.2,7.5,0.424,1.5,4.0,0.385,1.7,3.5,0.469,0.526,1.7,2.0,0.83,0.1,1.2,1.3,2.9,0.3,0.0,1.3,1.4,9.6,1
24,20,17,1,16.5,1.5,4.6,0.316,0.1,0.9,0.125,1.4,3.7,0.365,0.329,1.1,1.4,0.792,0.4,1.4,1.8,2.6,0.7,0.3,1.5,1.6,4.2,2
26,32,9,5,33.1,5.7,13.7,0.415,2.0,5.2,0.383,3.7,8.4,0.434,0.488,3.0,3.1,0.964,0.4,3.0,3.4,5.4,0.7,0.1,2.0,0.9,16.3,1
32,28,3,1,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3.0,9.0,0.333,0.375,3.0,3.3,0.9,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0,1
47,27,22,22,31.9,6.5,14.7,0.443,1.2,4.1,0.3,5.3,10.6,0.498,0.485,4.6,5.6,0.815,1.0,4.8,5.8,5.0,1.5,0.3,3.1,3.0,18.8,0
56,32,19,0,15.0,2.3,5.5,0.423,0.8,2.3,0.364,1.5,3.2,0.467,0.5,0.6,0.7,0.857,0.3,0.7,1.0,2.2,0.6,0.2,1.4,1.6,6.1,2
58,32,6,0,3.7,0.2,2.0,0.083,0.0,0.7,0.0,0.2,1.3,0.125,0.083,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.2,0.3,0.3,2
62,24,17,0,11.6,2.1,4.6,0.443,0.3,0.7,0.417,1.8,3.9,0.448,0.475,0.2,0.4,0.5,0.2,0.4,0.5,1.4,0.2,0.1,0.5,0.6,4.6,2
65,35,14,9,13.9,1.9,3.9,0.481,0.7,1.7,0.417,1.1,2.1,0.533,0.574,0.3,0.3,1.0,0.4,1.8,2.2,2.6,0.4,0.1,1.6,1.1,4.7,2
71,25,3,0,15.0,1.3,5.0,0.267,0.3,0.7,0.5,1.0,4.3,0.231,0.3,1.0,1.3,0.75,1.0,2.0,3.0,2.7,0.7,0.7,2.0,2.0,4.0,2
78,24,21,0,13.1,1.1,3.6,0.307,0.1,0.7,0.2,1.0,2.9,0.333,0.327,0.2,0.4,0.5,0.2,0.9,1.1,2.5,0.3,0.0,0.6,1.1,2.5,2
81,29,13,9,30.6,4.6,9.5,0.484,0.9,2.5,0.364,3.7,7.0,0.527,0.532,3.2,3.7,0.875,0.5,1.6,2.2,4.7,1.3,0.1,2.2,1.7,13.4,1
83,29,17,16,32.2,6.1,13.8,0.44,2.5,5.3,0.467,3.6,8.5,0.424,0.53,4.6,5.1,0.897,0.4,3.1,3.5,5.7,1.4,0.6,2.3,1.6,19.2,0
91,26,17,6,27.9,4.1,9.6,0.421,1.4,4.4,0.307,2.7,5.2,0.517,0.491,0.8,1.1,0.778,0.5,2.1,2.5,2.6,1.1,0.2,1.4,1.9,10.3,1
