Player,Steven Adams,Alexis Ajinca,Cole Aldrich,Chris Andersen,Omer Asik,Aron Baynes,Bismack Biyombo,Tarik Black,Andrew Bogut,Clint Capela,Willie Cauley-Stein,Tyson Chandler,DeMarcus Cousins,Deyonta Davis,Dewayne Dedmon,Andre Drummond,Joel Embiid,Cristiano Felicio,Channing Frye,Marc Gasol,Pau Gasol,Rudy Gobert,Marcin Gortat,Justin Hamilton,A.J. Hammons,John Henson,Willy Hernangomez,Roy Hibbert,Nene Hilario,Jordan Hill,Al Horford,Dwight Howard,Al Jefferson,DeAndre Jordan,Frank Kaminsky,Enes Kanter,Kosta Koufos,Joffrey Lauvergne,Alex Len,Brook Lopez,Robin Lopez,Ian Mahinmi,Boban Marjanovic,JaVale McGee,Salah Mejri,Greg Monroe,Timofey Mozgov,Mike Muscala,Joakim Noah,Lucas Nogueira,Jusuf Nurkic,Daniel Ochefu,Jahlil Okafor,Kelly Olynyk,Arinze Onuaku,Zaza Pachulia,Georgios Papagiannis,Marshall Plumlee,Mason Plumlee,Miles Plumlee,Jakob Poeltl,Dwight Powell,Jason Smith,Marreese Speights,Diamond Stone,Walter Tavares,Tristan Thompson,Karl-Anthony Towns,Myles Turner,Jonas Valanciunas,Anderson Varejao,Nikola Vucevic,Hassan Whiteside,Jeff Withey,Tyler Zeller,Stephen Zimmerman,Ivica Zubac
Rk,3.0,5.0,6.0,11.0,20.0,33.0,44.0,46.0,49.0,68.0,73.0,74.0,85.0,95.0,97.0,108.0,116.0,124.0,132.0,135.0,136.0,144.0,148.0,158.0,159.0,174.0,176.0,178.0,180.0,182.0,190.0,192.0,205.0,221.0,223.0,224.0,230.0,235.0,241.0,251.0,252.0,259.0,261.0,273.0,279.0,286.0,291.0,296.0,304.0,305.0,308.0,310.0,311.0,313.0,314.0,316.0,317.0,326.0,327.0,328.0,329.0,333.0,372.0,374.0,378.0,380.0,389.0,392.0,395.0,398.0,401.0,405.0,417.0,428.0,436.0,437.0,439.0
Age,23.0,28.0,28.0,38.0,30.0,30.0,24.0,25.0,32.0,22.0,23.0,34.0,26.0,20.0,27.0,23.0,22.0,24.0,33.0,32.0,36.0,24.0,32.0,26.0,24.0,26.0,22.0,30.0,34.0,29.0,30.0,31.0,32.0,28.0,23.0,24.0,27.0,25.0,23.0,28.0,28.0,30.0,28.0,29.0,30.0,26.0,30.0,25.0,31.0,24.0,22.0,23.0,21.0,25.0,29.0,32.0,19.0,24.0,26.0,28.0,21.0,25.0,30.0,29.0,19.0,24.0,25.0,21.0,20.0,24.0,34.0,26.0,27.0,26.0,27.0,20.0,19.0
G,22.0,11.0,22.0,9.0,23.0,24.0,22.0,23.0,16.0,22.0,17.0,14.0,21.0,19.0,17.0,23.0,15.0,14.0,15.0,23.0,22.0,24.0,21.0,21.0,9.0,18.0,19.0,17.0,18.0,2.0,12.0,22.0,22.0,23.0,20.0,22.0,21.0,20.0,22.0,19.0,22.0,1.0,9.0,19.0,17.0,19.0,23.0,23.0,18.0,16.0,23.0,3.0,19.0,16.0,3.0,23.0,1.0,2.0,24.0,17.0,11.0,21.0,20.0,23.0,3.0,1.0,20.0,22.0,21.0,20.0,6.0,23.0,22.0,20.0,21.0,2.0,4.0
GS,22.0,1.0,0.0,0.0,18.0,1.0,7.0,0.0,16.0,22.0,0.0,13.0,21.0,0.0,1.0,23.0,15.0,0.0,0.0,23.0,22.0,24.0,21.0,2.0,0.0,11.0,0.0,5.0,0.0,0.0,12.0,22.0,1.0,23.0,6.0,0.0,17.0,0.0,9.0,19.0,22.0,0.0,0.0,0.0,3.0,0.0,23.0,3.0,18.0,0.0,23.0,0.0,6.0,5.0,0.0,23.0,0.0,0.0,24.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,22.0,21.0,20.0,0.0,16.0,22.0,0.0,5.0,0.0,1.0
MP,30.2,13.0,13.0,8.8,18.0,16.5,25.8,15.4,25.0,25.8,12.8,26.9,34.4,8.0,14.5,29.7,23.5,10.8,17.7,33.8,26.3,32.2,35.4,21.4,4.1,19.8,13.1,16.1,17.3,5.5,32.4,28.7,15.4,31.7,26.2,19.3,19.4,14.5,23.0,28.4,28.3,14.0,5.1,7.3,10.9,18.8,21.0,22.1,21.7,18.6,21.4,2.7,22.1,21.4,4.0,17.5,6.0,12.5,27.7,11.6,13.2,20.6,11.3,15.5,4.7,4.0,29.3,34.9,28.4,28.1,5.2,27.6,33.5,9.3,13.5,5.5,8.0
FG,4.3,1.9,1.3,0.8,1.3,1.6,1.9,2.2,1.8,5.5,2.2,3.1,9.8,0.9,1.6,6.4,6.1,1.1,3.5,7.4,4.8,4.0,4.8,2.5,0.4,2.7,2.3,2.2,2.8,1.0,6.1,5.5,3.4,4.3,4.3,5.2,2.4,2.3,3.1,6.9,4.5,0.0,0.8,1.9,1.1,3.4,3.6,3.4,1.9,2.1,4.2,0.3,4.9,3.2,0.3,1.7,1.0,0.5,4.2,1.0,1.2,2.8,1.3,2.9,0.7,1.0,2.7,8.3,5.5,5.0,0.3,5.5,7.4,1.1,2.0,0.5,0.8
FGA,7.7,4.1,2.3,2.0,2.6,3.7,4.1,4.4,3.8,8.8,3.9,4.4,21.3,1.6,3.2,12.0,13.4,2.8,7.8,16.2,9.8,6.0,8.5,5.9,1.2,5.2,3.9,4.4,5.0,1.5,12.3,9.0,7.0,6.7,10.4,9.2,4.8,4.8,6.5,15.3,9.6,1.0,2.7,3.1,1.8,6.8,6.2,6.1,3.9,2.7,8.0,1.0,9.5,6.6,0.3,3.4,1.0,0.5,8.0,2.1,2.6,5.9,3.1,6.9,2.3,1.0,4.5,17.5,10.3,9.3,0.8,12.6,13.5,1.8,4.2,1.0,2.0
FGP,0.553,0.467,0.56,0.389,0.517,0.432,0.451,0.5,0.475,0.632,0.567,0.705,0.461,0.548,0.519,0.535,0.458,0.41,0.453,0.458,0.493,0.664,0.559,0.427,0.364,0.511,0.595,0.507,0.567,0.667,0.493,0.606,0.481,0.636,0.409,0.564,0.51,0.474,0.483,0.454,0.467,0.0,0.292,0.638,0.581,0.5,0.573,0.553,0.493,0.791,0.522,0.333,0.519,0.481,1.0,0.5,1.0,1.0,0.524,0.472,0.448,0.472,0.419,0.424,0.286,1.0,0.596,0.474,0.532,0.538,0.4,0.439,0.549,0.583,0.489,0.5,0.375
3P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,1.3,0.0,2.5,1.6,0.6,0.0,0.0,1.2,0.1,0.0,0.1,0.0,0.1,0.0,1.3,0.0,0.0,0.0,1.2,0.1,0.0,0.8,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,1.5,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
3PA,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,4.6,0.0,0.0,0.0,2.9,0.0,5.1,3.7,1.3,0.0,0.0,3.5,0.1,0.0,0.1,0.0,0.2,0.0,3.7,0.0,0.0,0.0,4.3,0.8,0.0,1.9,0.1,5.8,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.7,0.1,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.1,2.9,0.0,0.0,0.1,3.9,1.3,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0
3PP,,0.0,,0.0,,,,0.0,0.0,,,,0.396,,,1.0,0.442,,0.481,0.44,0.448,,0.0,0.342,1.0,,1.0,,0.5,,0.364,,0.0,0.0,0.282,0.176,0.0,0.405,0.0,0.378,0.0,,,0.0,0.0,,0.0,0.425,0.0,,,,,0.367,,,,,0.0,,,0.167,0.5,0.299,,,0.0,0.372,0.321,,,0.3,,0.0,,,
2P,4.3,1.9,1.3,0.8,1.3,1.6,1.9,2.2,1.8,5.5,2.2,3.1,8.0,0.9,1.6,6.3,4.9,1.1,1.1,5.8,4.2,4.0,4.8,1.3,0.3,2.7,2.3,2.2,2.7,1.0,4.8,5.5,3.4,4.3,3.1,5.0,2.4,1.5,3.1,4.7,4.5,0.0,0.8,1.9,1.1,3.4,3.6,2.7,1.9,2.1,4.2,0.3,4.9,2.1,0.3,1.7,1.0,0.5,4.2,1.0,1.2,2.7,1.3,2.0,0.7,1.0,2.7,6.9,5.0,5.0,0.3,5.3,7.4,1.1,2.0,0.5,0.8
2PA,7.7,4.0,2.3,1.7,2.6,3.7,4.1,4.4,3.8,8.8,3.9,4.4,16.7,1.6,3.2,11.9,10.5,2.8,2.7,12.6,8.5,6.0,8.5,2.4,1.1,5.2,3.8,4.4,4.8,1.5,8.7,9.0,7.0,6.7,6.2,8.4,4.7,2.9,6.4,9.5,9.6,1.0,2.7,3.0,1.7,6.8,6.2,4.4,3.9,2.7,8.0,1.0,9.5,3.6,0.3,3.4,1.0,0.5,7.9,2.1,2.6,5.6,3.0,4.0,2.3,1.0,4.4,13.6,9.0,9.3,0.8,11.7,13.5,1.8,4.2,1.0,2.0
2PP,0.553,0.477,0.56,0.467,0.517,0.432,0.451,0.505,0.483,0.632,0.567,0.705,0.479,0.548,0.519,0.533,0.462,0.41,0.4,0.464,0.5,0.664,0.562,0.549,0.3,0.511,0.589,0.507,0.57,0.667,0.548,0.606,0.484,0.641,0.496,0.6,0.515,0.517,0.489,0.5,0.469,0.0,0.292,0.649,0.621,0.5,0.577,0.604,0.5,0.791,0.522,0.333,0.519,0.579,1.0,0.5,1.0,1.0,0.529,0.472,0.448,0.487,0.417,0.516,0.286,1.0,0.602,0.503,0.564,0.538,0.4,0.45,0.549,0.6,0.489,0.5,0.375
EFGP,0.553,0.467,0.56,0.389,0.517,0.432,0.451,0.5,0.475,0.632,0.567,0.705,0.503,0.548,0.519,0.536,0.505,0.41,0.611,0.508,0.523,0.664,0.559,0.528,0.409,0.511,0.601,0.507,0.578,0.667,0.547,0.606,0.481,0.636,0.466,0.572,0.51,0.553,0.483,0.526,0.467,0.0,0.292,0.638,0.581,0.5,0.573,0.613,0.493,0.791,0.522,0.333,0.519,0.566,1.0,0.5,1.0,1.0,0.524,0.472,0.448,0.476,0.427,0.487,0.286,1.0,0.596,0.516,0.553,0.538,0.4,0.45,0.549,0.583,0.489,0.5,0.375
