Player,Quincy Acy,LaMarcus Aldridge,Lavoy Allen,Ryan Anderson,Darrell Arthur,Brandon Bass,Dragan Bender,Anthony Bennett,Davis Bertans,Nemanja Bjelica,Joel Bolomboy,Trevor Booker,Marquese Chriss,Rakeem Christmas,Nick Collison,Anthony Davis,Ed Davis,Cheick Diallo,Boris Diaw,Gorgui Dieng,Jared Dudley,Henry Ellenson,Kenneth Faried,Derrick Favors,Dorian Finney-Smith,Taj Gibson,Draymond Green,JaMychal Green,Blake Griffin,Montrezl Harrell,Tobias Harris,Udonis Haslem,Spencer Hawes,Juan Hernangomez,Richaun Holmes,Kris Humphries,Serge Ibaka,Ersan Ilyasova,Ersan Ilyasova,Ersan Ilyasova,Jonas Jerebko,Amir Johnson,James Johnson,Nikola Jokic,Terrence Jones,Ryan Kelly,Skal Labissiere,David Lee,Meyers Leonard,Jon Leuer,Kevon Looney,Kevin Love,Trey Lyles,Thon Maker,Jarell Martin,Luc Mbah a Moute,James Michael McAdoo,Chris McCullough,Josh McRoberts,Jordan Mickey,Paul Millsap,Nikola Mirotic,Markieff Morris,Larry Nance Jr.,Maurice Ndour,Georges Niang,Andrew Nicholson,Steve Novak,Dirk Nowitzki,Kyle O'Quinn,Jabari Parker,Patrick Patterson,Adreian Payne,Bobby Portis,Kristaps Porzingis,Julius Randle,Zach Randolph,Willie Reed,Thomas Robinson,Domantas Sabonis,Dario Saric,Luis Scola,Mike Scott,Kevin Seraphin,Pascal Siakam,Jarnell Stokes,Mirza Teletovic,Lance Thomas,Anthony Tolliver,Noah Vonleh,David West,Alan Williams,Marvin Williams,Kyle Wiltjer,Christian Wood,Thaddeus Young,Cody Zeller
Rk,2.0,7.0,8.0,15.0,19.0,30.0,40.0,41.0,42.0,45.0,50.0,52.0,76.0,77.0,82.0,94.0,96.0,103.0,104.0,105.0,109.0,113.0,120.0,122.0,127.0,142.0,153.0,155.0,157.0,163.0,167.0,170.0,171.0,175.0,188.0,194.0,196.0,198.0,198.0,198.0,209.0,210.0,211.0,216.0,219.0,225.0,232.0,240.0,243.0,244.0,250.0,253.0,257.0,260.0,262.0,264.0,265.0,270.0,277.0,280.0,284.0,285.0,289.0,297.0,299.0,302.0,303.0,306.0,307.0,309.0,318.0,321.0,323.0,331.0,332.0,336.0,337.0,339.0,346.0,356.0,357.0,360.0,361.0,363.0,366.0,377.0,382.0,386.0,391.0,404.0,414.0,420.0,424.0,426.0,429.0,434.0,435.0
Age,26.0,31.0,27.0,28.0,28.0,31.0,19.0,23.0,24.0,28.0,23.0,29.0,19.0,25.0,36.0,23.0,27.0,20.0,34.0,27.0,31.0,20.0,27.0,25.0,23.0,31.0,26.0,26.0,27.0,23.0,24.0,36.0,28.0,21.0,23.0,31.0,27.0,29.0,29.0,29.0,29.0,29.0,29.0,21.0,25.0,25.0,20.0,33.0,24.0,27.0,20.0,28.0,21.0,19.0,22.0,30.0,24.0,21.0,29.0,22.0,31.0,25.0,27.0,24.0,24.0,23.0,27.0,33.0,38.0,26.0,21.0,27.0,25.0,21.0,21.0,22.0,35.0,26.0,25.0,20.0,22.0,36.0,28.0,27.0,22.0,23.0,31.0,28.0,31.0,21.0,36.0,24.0,30.0,24.0,21.0,28.0,24.0
G,6.0,21.0,21.0,22.0,10.0,12.0,17.0,14.0,18.0,22.0,7.0,20.0,22.0,3.0,5.0,22.0,24.0,2.0,15.0,22.0,21.0,5.0,22.0,11.0,20.0,22.0,22.0,24.0,22.0,13.0,24.0,7.0,20.0,18.0,19.0,19.0,23.0,23.0,3.0,20.0,22.0,22.0,20.0,20.0,22.0,8.0,1.0,23.0,22.0,24.0,20.0,20.0,24.0,6.0,23.0,23.0,10.0,9.0,13.0,9.0,20.0,22.0,21.0,21.0,11.0,13.0,15.0,2.0,5.0,22.0,20.0,22.0,7.0,18.0,22.0,21.0,17.0,15.0,15.0,22.0,23.0,18.0,3.0,12.0,22.0,2.0,18.0,12.0,9.0,18.0,23.0,8.0,16.0,4.0,1.0,22.0,19.0
GS,0.0,21.0,0.0,22.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,20.0,15.0,0.0,0.0,22.0,10.0,0.0,12.0,22.0,7.0,0.0,14.0,9.0,13.0,22.0,22.0,24.0,22.0,0.0,24.0,0.0,0.0,1.0,2.0,0.0,23.0,13.0,0.0,13.0,1.0,21.0,0.0,8.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,20.0,3.0,0.0,2.0,23.0,0.0,0.0,5.0,0.0,20.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,20.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,1.0,22.0,10.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,22.0,17.0
MP,8.0,32.9,14.6,30.7,14.7,8.9,12.1,10.6,10.9,16.8,2.1,28.2,15.9,4.7,4.4,38.1,18.8,3.5,21.6,31.3,24.8,2.8,23.0,24.0,19.5,28.9,33.1,30.3,33.0,13.3,33.6,5.9,17.2,11.2,16.7,10.8,30.2,26.3,20.7,27.2,17.3,19.7,24.4,23.6,24.5,4.9,15.0,16.7,15.8,26.6,8.1,31.9,22.7,3.2,14.8,23.2,6.1,5.4,17.2,7.6,32.8,22.5,31.8,22.1,8.4,5.5,9.9,2.5,26.2,14.7,32.7,28.9,9.4,11.6,33.9,27.9,21.9,12.1,9.1,21.7,24.8,13.4,9.3,10.1,19.3,3.5,16.2,16.3,11.0,10.5,10.7,10.1,27.4,2.5,3.0,29.8,25.1
FG,0.8,6.5,0.8,4.3,2.0,1.5,1.2,1.7,1.2,2.5,0.3,4.6,2.5,0.3,0.0,11.0,1.6,0.0,2.1,4.2,3.0,0.2,3.2,4.2,1.4,5.3,3.9,3.4,7.5,3.0,6.7,0.3,3.0,0.9,2.9,1.4,5.7,4.7,2.0,5.1,1.9,2.6,3.6,3.9,4.0,0.3,3.0,2.6,2.0,4.1,1.4,6.7,3.5,0.7,1.5,2.2,0.7,1.2,1.6,1.1,6.3,2.9,4.6,3.3,0.8,0.3,1.5,0.0,4.8,2.5,7.4,2.6,2.1,1.7,7.3,5.2,5.8,1.7,0.9,2.8,3.8,1.9,0.3,2.0,2.8,0.5,2.4,2.0,0.8,0.9,1.7,2.0,3.5,0.3,0.0,5.0,3.9
FGA,2.8,13.9,2.5,10.7,4.5,2.8,3.0,3.9,2.6,5.8,0.4,8.5,5.7,1.3,0.4,22.2,3.3,1.0,4.7,8.1,6.4,0.6,6.7,8.9,4.0,9.7,8.9,7.3,16.1,5.0,13.7,1.1,6.2,2.2,5.6,3.5,12.0,10.4,5.3,11.2,3.9,4.7,7.7,7.5,8.5,0.9,5.0,4.6,5.5,8.5,2.0,14.9,8.6,1.3,4.3,4.3,1.7,2.7,5.1,2.2,13.8,7.7,11.3,5.7,1.9,2.1,3.5,1.0,13.4,4.4,15.9,7.2,4.0,3.4,15.9,10.2,12.8,2.7,2.7,6.0,9.5,4.0,3.0,4.1,4.8,0.5,6.1,4.8,2.1,2.6,3.2,3.1,10.1,1.0,1.0,9.5,6.8
FGP,0.294,0.466,0.321,0.403,0.444,0.529,0.392,0.436,0.447,0.422,0.667,0.544,0.432,0.25,0.0,0.498,0.487,0.0,0.437,0.514,0.47,0.333,0.483,0.469,0.35,0.547,0.434,0.466,0.469,0.6,0.486,0.25,0.476,0.41,0.519,0.388,0.476,0.45,0.375,0.455,0.482,0.553,0.468,0.52,0.463,0.286,0.6,0.566,0.372,0.48,0.675,0.446,0.411,0.5,0.347,0.5,0.412,0.458,0.318,0.5,0.455,0.376,0.408,0.58,0.429,0.148,0.415,0.0,0.358,0.577,0.464,0.361,0.536,0.492,0.461,0.507,0.452,0.625,0.35,0.462,0.397,0.486,0.111,0.49,0.575,1.0,0.391,0.414,0.368,0.362,0.521,0.64,0.346,0.25,0.0,0.534,0.581
3P,0.2,0.5,0.0,2.5,1.1,0.1,0.6,0.6,0.8,1.2,0.0,0.3,0.5,0.0,0.0,0.6,0.0,0.0,0.4,0.1,1.5,0.0,0.0,0.1,0.7,0.0,1.1,0.5,0.2,0.0,1.2,0.0,0.4,0.4,0.4,0.3,1.3,1.8,1.0,2.0,0.7,0.3,1.1,0.3,0.4,0.1,0.0,0.0,1.1,0.9,0.1,2.7,1.1,0.3,0.3,0.7,0.0,0.1,0.2,0.0,1.0,1.4,0.7,0.0,0.0,0.1,0.1,0.0,1.2,0.0,1.0,1.7,0.3,0.2,2.1,0.1,0.2,0.0,0.0,1.0,1.4,0.3,0.0,0.0,0.0,0.0,1.9,0.7,0.3,0.3,0.0,0.0,1.9,0.3,0.0,0.8,0.0
3PA,1.2,1.0,0.0,6.1,2.3,0.1,1.9,2.2,2.0,3.4,0.1,1.1,1.7,0.0,0.0,2.3,0.0,0.0,1.8,0.5,3.6,0.0,0.1,0.2,2.5,0.0,3.3,1.8,1.0,0.0,3.5,0.1,1.4,1.1,1.1,0.9,3.2,5.0,4.0,5.2,1.6,0.7,3.1,1.1,1.8,0.4,0.0,0.0,3.3,2.8,0.2,6.4,3.8,0.7,0.8,1.6,0.2,0.4,0.9,0.0,3.1,4.6,2.1,0.5,0.2,0.8,0.7,1.0,4.4,0.1,3.1,4.8,1.1,0.5,5.6,0.7,0.9,0.0,0.0,2.4,3.7,1.3,1.7,0.0,0.1,0.0,5.1,1.5,1.6,1.1,0.0,0.0,5.6,1.0,1.0,2.0,0.0
