Player,Alex Abrines,Arron Afflalo,Tony Allen,Kyle Anderson,Giannis Antetokounmpo,Ron Baker,Leandro Barbosa,Will Barton,Nicolas Batum,Bradley Beal,Malik Beasley,Marco Belinelli,Patrick Beverley,Devin Booker,Avery Bradley,Malcolm Brogdon,Kentavious Caldwell-Pope,Isaiah Canaan,Vince Carter,Ian Clark,Jordan Clarkson,Pat Connaughton,Allen Crabbe,Jamal Crawford,Troy Daniels,DeMar DeRozan,Wayne Ellington,Monta Ellis,Bryn Forbes,Evan Fournier,Randy Foye,Michael Gbinije,Manu Ginobili,Archie Goodwin,Eric Gordon,Treveon Graham,Danny Green,Gerald Green,Tim Hardaway,Gary Harris,Joe Harris,Aaron Harrison,Andrew Harrison,Gerald Henderson,Buddy Hield,Darrun Hilliard,Justin Holiday,Rodney Hood,Danuel House,R.J. Hunter,John Jenkins,Tyler Johnson,Cory Joseph,Sean Kilpatrick,Brandon Knight,Kyle Korver,Jeremy Lamb,Zach LaVine,Courtney Lee,Caris LeVert,DeAndre Liggins,Wesley Matthews,Patrick McCaw,Sheldon McClellan,C.J. McCollum,Rodney McGruder,Ben McLemore,Jordan McRae,Jodie Meeks,E'Twaun Moore,Anthony Morrow,Jamal Murray,Victor Oladipo,Norman Powell,Tim Quarterman,J.J. Redick,Josh Richardson,Malachi Richardson,Austin Rivers,Brandon Rush,Tomas Satoransky,Iman Shumpert,Jonathon Simmons,J.R. Smith,Nik Stauskas,Lance Stephenson,Garrett Temple,Jason Terry,Hollis Thompson,Klay Thompson,Marcus Thornton,Evan Turner,Denzel Valentine,Rashad Vaughn,Sasha Vujacic,Dwyane Wade,Dion Waiters,C.J. Wilcox,Lou Williams,James Young,Nick Young
Rk,1.0,4.0,9.0,14.0,16.0,23.0,25.0,29.0,31.0,35.0,36.0,38.0,43.0,51.0,53.0,55.0,66.0,67.0,70.0,79.0,80.0,84.0,87.0,88.0,93.0,102.0,114.0,115.0,128.0,129.0,130.0,138.0,143.0,145.0,147.0,149.0,152.0,154.0,160.0,165.0,166.0,168.0,169.0,173.0,179.0,184.0,186.0,189.0,191.0,195.0,207.0,214.0,222.0,227.0,228.0,229.0,233.0,236.0,239.0,245.0,246.0,263.0,266.0,267.0,268.0,274.0,275.0,276.0,278.0,287.0,290.0,295.0,312.0,334.0,335.0,338.0,340.0,341.0,342.0,354.0,358.0,365.0,367.0,371.0,375.0,376.0,383.0,384.0,387.0,388.0,390.0,394.0,399.0,403.0,406.0,407.0,408.0,419.0,423.0,431.0,433.0
Age,23.0,31.0,35.0,23.0,22.0,23.0,34.0,26.0,28.0,23.0,20.0,30.0,28.0,20.0,26.0,24.0,23.0,25.0,40.0,25.0,24.0,24.0,24.0,36.0,25.0,27.0,29.0,31.0,23.0,24.0,33.0,24.0,39.0,22.0,28.0,23.0,29.0,31.0,24.0,22.0,25.0,22.0,22.0,29.0,23.0,23.0,27.0,24.0,23.0,23.0,25.0,24.0,25.0,27.0,25.0,35.0,24.0,21.0,31.0,22.0,28.0,30.0,21.0,24.0,25.0,25.0,23.0,25.0,29.0,27.0,31.0,19.0,24.0,23.0,22.0,32.0,23.0,21.0,24.0,31.0,25.0,26.0,27.0,31.0,23.0,26.0,30.0,39.0,25.0,26.0,29.0,28.0,23.0,20.0,32.0,35.0,25.0,26.0,30.0,21.0,31.0
G,16.0,20.0,17.0,20.0,20.0,6.0,21.0,11.0,21.0,18.0,9.0,22.0,11.0,21.0,22.0,20.0,24.0,22.0,18.0,20.0,24.0,9.0,24.0,23.0,13.0,22.0,6.0,22.0,10.0,23.0,15.0,6.0,19.0,3.0,22.0,5.0,15.0,12.0,23.0,5.0,21.0,4.0,23.0,22.0,23.0,14.0,22.0,21.0,1.0,3.0,3.0,21.0,22.0,21.0,22.0,21.0,11.0,21.0,20.0,1.0,12.0,20.0,18.0,7.0,24.0,21.0,16.0,11.0,4.0,20.0,16.0,23.0,22.0,18.0,7.0,22.0,13.0,2.0,23.0,9.0,18.0,19.0,23.0,16.0,23.0,6.0,21.0,15.0,23.0,23.0,20.0,24.0,16.0,11.0,14.0,20.0,16.0,9.0,24.0,11.0,18.0
GS,0.0,18.0,15.0,7.0,20.0,0.0,0.0,11.0,21.0,18.0,0.0,0.0,11.0,21.0,22.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,22.0,3.0,21.0,0.0,23.0,1.0,0.0,0.0,0.0,8.0,1.0,15.0,0.0,1.0,4.0,0.0,0.0,9.0,22.0,3.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,19.0,1.0,21.0,20.0,0.0,1.0,20.0,0.0,2.0,24.0,9.0,1.0,0.0,0.0,18.0,0.0,3.0,22.0,4.0,0.0,22.0,9.0,0.0,0.0,0.0,2.0,1.0,1.0,16.0,3.0,0.0,0.0,0.0,1.0,23.0,1.0,1.0,0.0,0.0,0.0,20.0,16.0,0.0,0.0,0.0,18.0
MP,12.6,25.8,25.6,13.8,34.5,7.3,12.6,32.1,34.8,34.8,6.0,25.5,29.0,32.9,35.5,20.7,33.3,20.7,26.4,14.0,28.9,4.7,28.0,25.8,20.9,35.9,34.0,32.4,5.3,33.4,17.3,3.5,19.6,10.0,31.0,9.6,25.5,10.0,21.2,22.8,24.9,3.8,27.3,24.5,17.1,11.0,18.8,30.3,1.0,3.0,3.3,30.4,20.9,27.7,24.9,28.1,16.6,37.3,29.8,9.0,10.3,36.0,13.2,11.1,34.5,24.7,15.9,10.5,16.3,26.6,14.3,22.1,35.2,13.8,3.0,26.6,28.1,4.0,22.3,10.7,16.6,21.7,18.8,29.3,26.5,27.0,21.6,17.3,19.0,33.7,19.1,25.2,10.8,13.0,7.9,31.4,31.8,5.4,24.7,5.8,25.0
FG,1.4,2.9,3.8,0.9,8.0,1.0,2.4,5.2,4.4,7.6,1.0,3.7,2.9,7.0,7.2,2.8,5.3,2.4,3.2,2.6,5.8,0.6,3.3,4.3,3.4,10.0,5.8,3.9,0.4,5.7,1.8,0.2,2.4,0.7,5.9,0.8,2.5,1.3,4.2,4.2,3.6,0.0,2.0,3.7,2.8,1.4,2.2,5.7,0.0,0.0,0.3,4.5,3.4,5.5,4.5,3.2,3.4,7.6,3.9,0.0,0.8,4.9,1.4,1.7,8.2,2.4,2.6,1.5,3.3,4.7,2.4,3.4,6.7,1.9,1.0,5.1,4.2,0.5,3.0,0.6,1.6,2.2,2.0,2.6,3.3,4.3,2.1,0.9,2.3,8.3,2.8,3.5,0.8,1.9,0.7,7.2,5.5,0.2,6.0,0.5,4.5
FGA,4.1,6.9,8.3,2.1,15.4,3.3,5.0,12.4,11.4,16.9,3.2,8.4,6.7,16.6,15.3,6.8,12.6,6.1,8.3,5.3,13.5,0.8,7.8,10.7,9.1,20.9,12.3,8.9,1.3,13.3,5.2,1.3,6.7,1.7,13.5,1.2,5.7,4.3,9.1,9.2,8.0,1.0,6.8,8.2,7.9,3.6,5.6,13.3,0.0,0.3,1.3,10.7,7.2,12.7,12.1,7.2,7.5,16.1,8.7,3.0,1.6,13.1,3.2,3.9,17.3,5.9,6.0,4.9,7.0,10.3,5.3,8.9,14.5,4.1,1.0,10.8,10.5,2.0,7.3,2.4,3.9,4.6,4.9,8.3,7.3,9.2,4.8,3.1,5.6,17.4,7.4,8.5,2.9,4.9,2.1,16.2,14.3,1.0,13.0,1.3,9.9
FGP,0.354,0.42,0.461,0.429,0.519,0.3,0.472,0.419,0.383,0.446,0.31,0.443,0.432,0.424,0.472,0.404,0.416,0.393,0.389,0.495,0.429,0.714,0.426,0.408,0.373,0.476,0.473,0.441,0.308,0.426,0.346,0.125,0.359,0.4,0.439,0.667,0.442,0.294,0.462,0.457,0.455,0.0,0.288,0.456,0.359,0.392,0.398,0.427,,0.0,0.25,0.418,0.465,0.432,0.372,0.444,0.451,0.47,0.445,0.0,0.526,0.375,0.431,0.444,0.475,0.407,0.427,0.296,0.464,0.454,0.447,0.385,0.461,0.479,1.0,0.477,0.394,0.25,0.413,0.227,0.4,0.483,0.407,0.311,0.458,0.473,0.44,0.304,0.419,0.476,0.378,0.417,0.277,0.389,0.333,0.444,0.384,0.222,0.457,0.429,0.455
3P,0.8,0.7,0.1,0.3,0.6,0.5,0.4,1.3,1.7,2.9,0.4,1.7,1.2,1.6,2.1,0.9,2.0,1.0,1.3,1.0,1.2,0.1,1.5,1.4,1.9,0.5,3.0,0.7,0.1,1.9,1.1,0.0,1.2,0.3,3.4,0.6,1.8,0.6,1.4,0.8,1.8,0.0,0.7,0.8,1.1,0.4,1.0,2.1,0.0,0.0,0.0,1.2,0.5,1.7,1.1,1.8,0.6,2.6,1.4,0.0,0.3,3.1,0.7,0.3,2.7,1.0,0.6,0.5,1.8,1.0,0.9,1.7,2.2,0.8,0.3,2.5,1.9,0.5,0.9,0.3,0.1,1.2,0.2,2.3,1.7,0.2,1.0,0.6,1.0,3.0,1.0,0.5,0.6,1.1,0.4,1.2,1.3,0.2,2.0,0.2,2.6
3PA,2.8,2.0,0.7,0.6,2.3,1.8,1.1,3.8,5.5,6.9,1.4,4.0,3.1,4.9,5.1,2.2,5.3,3.5,4.8,2.5,3.8,0.2,3.8,4.1,5.3,1.8,7.8,2.1,0.6,5.1,3.3,0.7,3.3,0.7,8.2,0.8,4.4,2.2,4.5,2.6,4.8,0.5,3.0,2.1,4.1,1.3,2.5,5.8,0.0,0.3,0.3,3.1,1.4,4.8,3.4,4.4,2.4,6.9,3.1,1.0,0.3,8.1,1.9,1.4,5.8,2.8,2.1,1.2,3.5,2.9,2.7,4.4,5.8,1.8,0.3,5.4,5.3,1.5,2.6,1.4,0.9,2.6,1.1,6.9,4.3,1.7,2.6,2.1,2.5,7.9,2.9,1.7,2.1,3.1,1.3,3.3,3.8,0.9,5.0,0.6,6.2
