Rk,Player,PlayerID,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines,abrinal01,SG,23,OKC,16,0,12.6,1.4,4.1,.354,0.8,2.8,.273,0.7,1.3,.524,.446,0.6,0.7,.909,0.1,0.8,0.9,0.4,0.3,0.1,0.8,0.9,4.3
2,Quincy Acy,acyqu01,PF,26,DAL,6,0,8.0,0.8,2.8,.294,0.2,1.2,.143,0.7,1.7,.400,.324,0.3,0.5,.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2
3,Steven Adams,adamsst01,C,23,OKC,22,22,30.2,4.3,7.7,.553,0.0,0.0,,4.3,7.7,.553,.553,2.2,3.0,.754,2.8,4.9,7.7,0.6,1.2,0.9,1.9,2.5,10.8
4,Arron Afflalo,afflaar01,SG,31,SAC,20,18,25.8,2.9,6.9,.420,0.7,2.0,.325,2.3,4.9,.459,.467,1.7,1.8,.917,0.3,2.3,2.5,1.2,0.4,0.1,0.2,1.6,8.1
5,Alexis Ajinca,ajincal01,C,28,NOP,11,1,13.0,1.9,4.1,.467,0.0,0.1,.000,1.9,4.0,.477,.467,0.4,0.5,.800,1.0,2.7,3.7,0.1,0.1,0.6,0.5,1.9,4.2
6,Cole Aldrich,aldrico01,C,28,MIN,22,0,13.0,1.3,2.3,.560,0.0,0.0,,1.3,2.3,.560,.560,0.4,0.6,.692,1.3,2.7,4.0,0.5,0.7,0.6,0.3,2.0,3.0
7,LaMarcus Aldridge,aldrila01,PF,31,SAS,21,21,32.9,6.5,13.9,.466,0.5,1.0,.476,6.0,12.9,.465,.483,3.2,4.0,.810,1.8,4.7,6.5,1.7,0.8,1.1,1.5,2.2,16.7
8,Lavoy Allen,allenla01,PF,27,IND,21,0,14.6,0.8,2.5,.321,0.0,0.0,.000,0.8,2.5,.327,.321,0.2,0.3,.667,1.3,1.5,2.8,1.2,0.3,0.3,0.3,1.3,1.8
9,Tony Allen,allento01,SG,35,MEM,17,15,25.6,3.8,8.3,.461,0.1,0.7,.167,3.7,7.6,.488,.468,1.4,2.0,.676,2.2,3.1,5.3,0.9,1.8,0.5,1.4,2.7,9.1
10,Al-Farouq Aminu,aminual01,SF,26,POR,11,8,24.4,1.9,7.2,.266,0.8,4.0,.205,1.1,3.2,.343,.323,0.9,1.9,.476,0.9,5.5,6.5,1.7,1.4,0.7,1.5,1.4,5.5
11,Chris Andersen,anderch01,C,38,CLE,9,0,8.8,0.8,2.0,.389,0.0,0.3,.000,0.8,1.7,.467,.389,0.9,1.3,.667,0.9,1.7,2.6,0.6,0.3,0.4,0.6,1.3,2.4
12,Alan Anderson,anderal01,SF,34,LAC,3,0,9.3,0.7,2.7,.250,0.7,2.0,.333,0.0,0.7,.000,.375,0.0,0.0,,0.7,0.3,1.0,0.7,0.0,0.0,0.3,1.7,2.0
13,Justin Anderson,anderju01,SF,23,DAL,21,2,19.9,2.7,7.2,.377,0.7,2.7,.268,2.0,4.5,.442,.427,1.9,2.4,.765,1.2,2.7,3.9,0.9,0.8,0.5,1.2,1.7,8.0
14,Kyle Anderson,anderky01,SG,23,SAS,20,7,13.8,0.9,2.1,.429,0.3,0.6,.455,0.7,1.6,.419,.488,0.5,0.6,.833,0.5,2.4,2.8,0.9,0.6,0.3,0.4,0.7,2.6
15,Ryan Anderson,anderry01,PF,28,HOU,22,22,30.7,4.3,10.7,.403,2.5,6.1,.403,1.9,4.6,.402,.517,1.8,2.0,.907,1.8,3.6,5.4,1.1,0.4,0.1,1.0,1.9,12.9
16,Giannis Antetokounmpo,antetgi01,SG,22,MIL,20,20,34.5,8.0,15.4,.519,0.6,2.3,.239,7.5,13.1,.569,.537,5.5,7.1,.773,1.6,7.3,8.9,6.1,2.2,2.3,3.4,3.8,22.0
17,Carmelo Anthony,anthoca01,SF,32,NYK,22,22,33.7,8.2,18.9,.436,2.0,6.0,.344,6.2,12.9,.479,.490,3.9,4.5,.867,1.0,5.0,6.0,2.5,1.0,0.4,1.9,2.9,22.4
18,Trevor Ariza,arizatr01,SF,31,HOU,22,22,33.4,4.5,10.1,.444,2.7,7.1,.382,1.8,3.0,.591,.578,0.9,1.1,.792,0.8,4.2,5.0,2.0,2.0,0.3,0.9,1.7,12.6
19,Darrell Arthur,arthuda01,PF,28,DEN,10,1,14.7,2.0,4.5,.444,1.1,2.3,.478,0.9,2.2,.409,.567,0.2,0.2,1.000,0.4,1.9,2.3,1.1,0.2,0.3,1.2,2.1,5.3
20,Omer Asik,asikom01,C,30,NOP,23,18,18.0,1.3,2.6,.517,0.0,0.0,,1.3,2.6,.517,.517,0.9,1.6,.583,1.7,4.6,6.3,0.6,0.2,0.3,0.5,1.7,3.6
21,D.J. Augustin,augusdj01,PG,29,ORL,23,7,20.2,3.2,7.5,.424,1.5,4.0,.385,1.7,3.5,.469,.526,1.7,2.0,.830,0.1,1.2,1.3,2.9,0.3,0.0,1.3,1.4,9.6
22,Luke Babbitt,babbilu01,SF,27,MIA,19,11,15.9,1.5,4.4,.337,1.0,3.1,.328,0.5,1.3,.360,.452,0.3,0.4,.714,0.3,1.6,1.8,0.5,0.4,0.1,0.4,1.2,4.2
23,Ron Baker,bakerro01,SG,23,NYK,6,0,7.3,1.0,3.3,.300,0.5,1.8,.273,0.5,1.5,.333,.375,0.3,0.7,.500,0.2,0.3,0.5,0.5,0.5,0.2,0.3,0.2,2.8
24,Wade Baldwin,baldwwa01,PG,20,MEM,17,1,16.5,1.5,4.6,.316,0.1,0.9,.125,1.4,3.7,.365,.329,1.1,1.4,.792,0.4,1.4,1.8,2.6,0.7,0.3,1.5,1.6,4.2
25,Leandro Barbosa,barbole01,SG,34,PHO,21,0,12.6,2.4,5.0,.472,0.4,1.1,.391,2.0,4.0,.494,.514,0.3,0.3,.857,0.2,1.2,1.4,1.1,0.4,0.0,0.2,1.0,5.5
26,J.J. Barea,bareajo01,PG,32,DAL,9,5,33.1,5.7,13.7,.415,2.0,5.2,.383,3.7,8.4,.434,.488,3.0,3.1,.964,0.4,3.0,3.4,5.4,0.7,0.1,2.0,0.9,16.3
27,Harrison Barnes,barneha02,SF,24,DAL,21,21,37.3,8.2,18.1,.453,1.0,3.1,.303,7.2,15.0,.484,.479,3.0,3.5,.877,1.5,4.2,5.7,1.2,0.8,0.2,1.5,1.8,20.4
28,Matt Barnes,barnema02,SF,36,SAC,21,4,25.5,2.6,7.1,.360,1.2,4.0,.294,1.4,3.1,.446,.443,0.9,1.2,.760,1.0,3.9,4.9,2.8,0.8,0.4,1.8,2.6,7.2
29,Will Barton,bartowi01,SG,26,DEN,11,11,32.1,5.2,12.4,.419,1.3,3.8,.333,3.9,8.5,.457,.471,2.6,3.8,.690,1.4,3.8,5.2,2.5,0.9,0.5,2.1,2.1,14.3
30,Brandon Bass,bassbr01,PF,31,LAC,12,0,8.9,1.5,2.8,.529,0.1,0.1,1.000,1.4,2.8,.515,.544,0.5,0.5,1.000,0.5,0.9,1.4,0.4,0.1,0.2,0.3,0.8,3.6
31,Nicolas Batum,batumni01,SG,28,CHO,21,21,34.8,4.4,11.4,.383,1.7,5.5,.313,2.7,6.0,.448,.458,3.0,3.8,.788,0.7,7.0,7.7,5.5,1.0,0.4,2.3,1.6,13.5
32,Jerryd Bayless,bayleje01,PG,28,PHI,3,1,23.7,3.7,10.7,.344,0.7,1.7,.400,3.0,9.0,.333,.375,3.0,3.3,.900,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0
33,Aron Baynes,baynear01,C,30,DET,24,1,16.5,1.6,3.7,.432,0.0,0.0,,1.6,3.7,.432,.432,1.4,1.6,.872,1.1,3.3,4.4,0.4,0.4,0.4,1.1,2.1,4.6
34,Kent Bazemore,bazemke01,SF,27,ATL,22,22,27.0,4.0,11.0,.358,1.2,4.0,.292,2.8,7.0,.396,.412,1.6,2.0,.795,0.6,2.6,3.2,2.6,1.6,0.6,1.9,2.3,10.7
35,Bradley Beal,bealbr01,SG,23,WAS,18,18,34.8,7.6,16.9,.446,2.9,6.9,.424,4.6,10.0,.461,.533,3.6,4.6,.780,0.8,2.3,3.1,3.1,0.9,0.4,1.8,2.2,21.6
36,Malik Beasley,beaslma01,SG,20,DEN,9,0,6.0,1.0,3.2,.310,0.4,1.4,.308,0.6,1.8,.313,.379,0.4,0.7,.667,0.0,0.4,0.4,0.3,0.2,0.0,0.0,0.4,2.9
37,Michael Beasley,beaslmi01,SF,28,MIL,20,0,15.9,3.6,6.8,.522,0.3,0.7,.462,3.3,6.2,.528,.544,1.2,1.8,.686,0.7,2.9,3.6,0.8,0.5,0.2,1.2,1.6,8.6
38,Marco Belinelli,belinma01,SG,30,CHO,22,0,25.5,3.7,8.4,.443,1.7,4.0,.437,2.0,4.5,.449,.546,1.5,1.8,.872,0.1,2.7,2.9,1.8,0.8,0.2,0.8,1.3,10.7
